---
source: R[v4.4.3]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-04-04 18:13:20
schema:
  fields:
  - name: species
    type: character
  - name: posID
    type: numeric
  - name: tag
    type: character
  - name: time
    type: numeric
  - name: datetime
    type: POSIXct
  - name: x
    type: numeric
  - name: 'y'
    type: numeric
  - name: nbs
    type: numeric
  - name: varx
    type: numeric
  - name: vary
    type: numeric
  - name: speed_in
    type: numeric
  - name: speed_out
    type: numeric
  - name: x_raw
    type: numeric
  - name: y_raw
    type: numeric
  - name: n_aggregated
    type: integer
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,posID,tag,time,datetime,x,y,nbs,varx,vary,speed_in,speed_out,x_raw,y_raw,n_aggregated
redshank,77,3027,1695443040,2023-09-23T04:24:00Z,650777.710764449,5902215.67578973,3,0.62938068712187,2.3534488096792,0.351940198382298,0.184845668312431,650776.850799022,5902215.19839036,19
redshank,96,3027,1695443100,2023-09-23T04:25:00Z,650777.247685064,5902218.9749799,3,0.655222627264642,2.43387015176282,0.358141316294499,0.411908067172124,650777.428902022,5902218.07696143,19
redshank,114.5,3027,1695443160,2023-09-23T04:26:00Z,650775.416445303,5902215.9211613,3,0.563757569701584,2.02990659960994,0.251967556883739,0.243997912498226,650775.78309838,5902216.04031071,18
redshank,131.5,3027,1695443220,2023-09-23T04:27:00Z,650776.386883836,5902085.69459789,3,1.18531326483935,3.05135839432478,2.79194195887938,2.76066569579297,650777.885211667,5902086.79039179,16
redshank,148.5,3027,1695443280,2023-09-23T04:28:00Z,650781.393701659,5901996.50246569,3,0.319197521901425,0.848231395085653,0.283473836645088,0.27881538929182,650781.294097763,5901996.79875022,18
redshank,167,3027,1695443340,2023-09-23T04:29:00Z,650782.463054217,5901985.43985983,3,0.306946712847892,0.853861863593316,0.312898927973599,0.292396547307249,650782.36290859,5901984.96602826,19
redshank,186,3027,1695443400,2023-09-23T04:30:00Z,650780.782024795,5901975.83597151,3,0.410906481940991,0.975950287319616,0.388492160374408,0.401967753954178,650781.034910449,5901976.16603427,19
redshank,203.5,3027,1695443460,2023-09-23T04:31:00Z,650777.487497788,5901969.09245679,3,0.430729540064931,1.05336300097406,0.267427111798203,0.251424844422227,650778.069880771,5901968.69994325,16
redshank,220.5,3027,1695443520,2023-09-23T04:32:00Z,650775.64532784,5901964.88658499,3,0.384580990414561,1.13505659574344,0.328631263006122,0.347492786927009,650775.84765315,5901964.29698816,18
redshank,239,3027,1695443580,2023-09-23T04:33:00Z,650767.017999646,5901958.00258877,3,0.341869942039004,0.95765534662474,0.270089171180764,0.256176599042481,650767.436534818,5901958.34743878,19
