tID,tideID,high_start_time,high_start_type,high_start_level,low_time,low_type,low_level,high_end_time,high_end_type,high_end_level
47,2023047,2023-01-24T22:20:00Z,HH,100,2023-01-25T05:10:00Z,LL,-133,2023-01-25T11:00:00Z,LH,66
48,2023048,2023-01-25T11:00:00Z,LH,66,2023-01-25T17:20:00Z,HL,-115,2023-01-25T23:00:00Z,HH,128
49,2023049,2023-01-25T23:00:00Z,HH,128,2023-01-26T06:00:00Z,HL,-101,2023-01-26T11:30:00Z,LH,67
50,2023050,2023-01-26T11:30:00Z,LH,67,2023-01-26T18:00:00Z,LL,-120,2023-01-26T23:40:00Z,HH,97
51,2023051,2023-01-26T23:40:00Z,HH,97,2023-01-27T06:50:00Z,HL,-125,2023-01-27T12:00:00Z,LH,31
52,2023052,2023-01-27T12:00:00Z,LH,31,2023-01-27T18:40:00Z,LL,-148,2023-01-28T00:40:00Z,HH,88
53,2023053,2023-01-28T00:40:00Z,HH,88,2023-01-28T07:10:00Z,HL,-100,2023-01-28T13:00:00Z,LH,55
54,2023054,2023-01-28T13:00:00Z,LH,55,2023-01-28T19:20:00Z,LL,-120,2023-01-29T01:30:00Z,HH,83
55,2023055,2023-01-29T01:30:00Z,HH,83,2023-01-29T08:00:00Z,LL,-93,2023-01-29T13:30:00Z,LH,58
56,2023056,2023-01-29T13:30:00Z,LH,58,2023-01-29T19:40:00Z,HL,-73,2023-01-30T02:20:00Z,LH,138
57,2023057,2023-01-30T02:20:00Z,LH,138,2023-01-30T07:50:00Z,HL,28,2023-01-30T13:40:00Z,HH,165
58,2023058,2023-01-30T13:40:00Z,HH,165,2023-01-30T21:10:00Z,LL,-16,2023-01-31T02:50:00Z,LH,81
59,2023059,2023-01-31T02:50:00Z,LH,81,2023-01-31T09:20:00Z,LL,-70,2023-01-31T16:20:00Z,HH,85
60,2023060,2023-01-31T16:20:00Z,HH,85,2023-01-31T21:40:00Z,HL,10,2023-02-01T04:20:00Z,HH,161
61,2023061,2023-02-01T04:20:00Z,HH,161,2023-02-01T10:00:00Z,LL,25,2023-02-01T16:20:00Z,LH,151
62,2023062,2023-02-01T16:20:00Z,LH,151,2023-02-02T00:00:00Z,HL,-7,2023-02-02T05:20:00Z,HH,98
63,2023063,2023-02-02T05:20:00Z,HH,98,2023-02-02T12:10:00Z,LL,-80,2023-02-02T18:40:00Z,LH,73
64,2023064,2023-02-02T18:40:00Z,LH,73,2023-02-03T00:50:00Z,LL,-70,2023-02-03T07:20:00Z,LH,107
65,2023065,2023-02-03T07:20:00Z,LH,107,2023-02-03T13:00:00Z,HL,-24,2023-02-03T18:50:00Z,HH,160
66,2023066,2023-02-03T18:50:00Z,HH,160,2023-02-04T02:00:00Z,HL,-73,2023-02-04T07:40:00Z,LH,51
67,2023067,2023-02-04T07:40:00Z,LH,51,2023-02-04T14:00:00Z,LL,-125,2023-02-04T20:00:00Z,HH,66
68,2023068,2023-02-04T20:00:00Z,HH,66,2023-02-05T02:10:00Z,LL,-108,2023-02-05T08:30:00Z,LH,87
69,2023069,2023-02-05T08:30:00Z,LH,87,2023-02-05T15:00:00Z,HL,-66,2023-02-05T20:30:00Z,HH,90
70,2023070,2023-02-05T20:30:00Z,HH,90,2023-02-06T03:10:00Z,LL,-131,2023-02-06T09:00:00Z,LH,48
71,2023071,2023-02-06T09:00:00Z,LH,48,2023-02-06T15:20:00Z,HL,-130,2023-02-06T21:10:00Z,HH,82
72,2023072,2023-02-06T21:10:00Z,HH,82,2023-02-07T04:00:00Z,HL,-119,2023-02-07T09:40:00Z,LH,65
73,2023073,2023-02-07T09:40:00Z,LH,65,2023-02-07T15:50:00Z,LL,-120,2023-02-07T21:40:00Z,HH,88
74,2023074,2023-02-07T21:40:00Z,HH,88,2023-02-08T04:20:00Z,HL,-122,2023-02-08T10:10:00Z,LH,58
75,2023075,2023-02-08T10:10:00Z,LH,58,2023-02-08T16:40:00Z,LL,-133,2023-02-08T22:20:00Z,HH,80
76,2023076,2023-02-08T22:20:00Z,HH,80,2023-02-09T04:30:00Z,LL,-110,2023-02-09T10:30:00Z,LH,93
77,2023077,2023-02-09T10:30:00Z,LH,93,2023-02-09T16:50:00Z,HL,-75,2023-02-09T22:50:00Z,HH,134
78,2023078,2023-02-09T22:50:00Z,HH,134,2023-02-10T05:20:00Z,HL,-76,2023-02-10T10:50:00Z,LH,71
79,2023079,2023-02-10T10:50:00Z,LH,71,2023-02-10T17:20:00Z,LL,-120,2023-02-10T23:10:00Z,HH,87
80,2023080,2023-02-10T23:10:00Z,HH,87,2023-02-11T05:40:00Z,HL,-81,2023-02-11T11:40:00Z,HH,96
81,2023081,2023-02-11T11:40:00Z,HH,96,2023-02-11T17:50:00Z,LL,-97,2023-02-11T23:40:00Z,LH,89
82,2023082,2023-02-11T23:40:00Z,LH,89,2023-02-12T06:20:00Z,HL,-109,2023-02-12T12:00:00Z,HH,51
83,2023083,2023-02-12T12:00:00Z,HH,51,2023-02-12T18:30:00Z,LL,-125,2023-02-13T00:20:00Z,HH,71
84,2023084,2023-02-13T00:20:00Z,HH,71,2023-02-13T06:50:00Z,HL,-109,2023-02-13T12:40:00Z,LH,50
85,2023085,2023-02-13T12:40:00Z,LH,50,2023-02-13T19:00:00Z,LL,-113,2023-02-14T00:50:00Z,HH,64
86,2023086,2023-02-14T00:50:00Z,HH,64,2023-02-14T07:20:00Z,HL,-105,2023-02-14T13:30:00Z,LH,47
87,2023087,2023-02-14T13:30:00Z,LH,47,2023-02-14T19:40:00Z,LL,-107,2023-02-15T02:00:00Z,HH,63
88,2023088,2023-02-15T02:00:00Z,HH,63,2023-02-15T08:20:00Z,LL,-89,2023-02-15T14:20:00Z,LH,52
89,2023089,2023-02-15T14:20:00Z,LH,52,2023-02-15T20:30:00Z,HL,-84,2023-02-16T03:20:00Z,LH,82
90,2023090,2023-02-16T03:20:00Z,LH,82,2023-02-16T09:30:00Z,HL,-52,2023-02-16T16:00:00Z,HH,89
91,2023091,2023-02-16T16:00:00Z,HH,89,2023-02-16T22:30:00Z,LL,-66,2023-02-17T04:50:00Z,LH,81
92,2023092,2023-02-17T04:50:00Z,LH,81,2023-02-17T11:10:00Z,LL,-38,2023-02-17T17:50:00Z,HH,123
93,2023093,2023-02-17T17:50:00Z,HH,123,2023-02-17T23:50:00Z,HL,-23,2023-02-18T05:40:00Z,HH,139
94,2023094,2023-02-18T05:40:00Z,HH,139,2023-02-18T12:30:00Z,LL,-45,2023-02-18T18:40:00Z,LH,91
95,2023095,2023-02-18T18:40:00Z,LH,91,2023-02-19T01:00:00Z,LL,-96,2023-02-19T07:40:00Z,LH,89
96,2023096,2023-02-19T07:40:00Z,LH,89,2023-02-19T13:50:00Z,HL,-91,2023-02-19T20:10:00Z,HH,107
97,2023097,2023-02-19T20:10:00Z,HH,107,2023-02-20T02:10:00Z,LL,-114,2023-02-20T08:30:00Z,LH,104
98,2023098,2023-02-20T08:30:00Z,LH,104,2023-02-20T14:30:00Z,HL,-48,2023-02-20T20:20:00Z,HH,180
99,2023099,2023-02-20T20:20:00Z,HH,180,2023-02-21T03:20:00Z,HL,-64,2023-02-21T09:10:00Z,LH,104
100,2023100,2023-02-21T09:10:00Z,LH,104,2023-02-21T15:30:00Z,LL,-111,2023-02-21T21:20:00Z,HH,110
101,2023101,2023-02-21T21:20:00Z,HH,110,2023-02-22T04:10:00Z,LL,-123,2023-02-22T10:00:00Z,LH,80
102,2023102,2023-02-22T10:00:00Z,LH,80,2023-02-22T16:10:00Z,HL,-108,2023-02-22T22:10:00Z,HH,141
103,2023103,2023-02-22T22:10:00Z,HH,141,2023-02-23T04:50:00Z,HL,-91,2023-02-23T10:20:00Z,LH,89
104,2023104,2023-02-23T10:20:00Z,LH,89,2023-02-23T17:10:00Z,LL,-120,2023-02-23T22:40:00Z,HH,111
