tID,tideID,high_start_time,high_start_type,high_start_level,low_time,low_type,low_level,high_end_time,high_end_type,high_end_level
471,2022471,2022-09-01T11:00:00Z,HH,75,2022-09-01T17:50:00Z,HL,-124,2022-09-01T23:30:00Z,LH,52
472,2022472,2022-09-01T23:30:00Z,LH,52,2022-09-02T05:50:00Z,LL,-126,2022-09-02T11:40:00Z,HH,77
473,2022473,2022-09-02T11:40:00Z,HH,77,2022-09-02T18:10:00Z,HL,-112,2022-09-03T00:10:00Z,LH,61
474,2022474,2022-09-03T00:10:00Z,LH,61,2022-09-03T06:30:00Z,LL,-118,2022-09-03T12:20:00Z,HH,70
475,2022475,2022-09-03T12:20:00Z,HH,70,2022-09-03T18:50:00Z,HL,-107,2022-09-04T00:50:00Z,LH,58
476,2022476,2022-09-04T00:50:00Z,LH,58,2022-09-04T07:00:00Z,LL,-106,2022-09-04T13:20:00Z,HH,67
477,2022477,2022-09-04T13:20:00Z,HH,67,2022-09-04T19:30:00Z,HL,-93,2022-09-05T01:30:00Z,LH,52
